Navn;Index_Value;UB_Snitt;UB
1826 Hattfjelldal;1,27;48096,50;60943,96
1827 Dønna;1,39;48096,50;66714,84
1828 Nesna;1,19;48096,50;57044,66
1832 Hemnes;1,16;48096,50;56007,70
1833 Rana;0,98;48096,50;46980,06
1834 Lurøy;1,75;48096,50;84141,87
1835 Træna;1,64;48096,50;79027,82
1836 Rødøy;1,52;48096,50;73310,25
1837 Meløy;1,16;48096,50;55966,65
1838 Gildeskål;1,33;48096,50;64174,68
1839 Beiarn;1,30;48096,50;62755,73
1840 Saltdal;1,11;48096,50;53172,51
1841 Fauske;1,02;48096,50;48898,36
1845 Sørfold;1,28;48096,50;61350,05
1848 Steigen;1,20;48096,50;57557,61
1849 Hamarøy;1,29;48096,50;61951,93
1850 Tysfjord;1,29;48096,50;61850,34
1851 Lødingen;1,23;48096,50;59354,78
1852 Tjeldsund;1,32;48096,50;63407,68
1853 Evenes;1,29;48096,50;62238,56
1854 Ballangen;1,16;48096,50;55725,43
1856 Røst;1,44;48096,50;69202,67
1857 Værøy;1,39;48096,50;67044,73
1859 Flakstad;1,27;48096,50;61179,54
1860 Vestvågøy;1,06;48096,50;51149,77
1865 Vågan;1,06;48096,50;50885,88
1866 Hadsel;1,07;48096,50;51261,26
1867 Bø;1,23;48096,50;59192,55
1868 Øksnes;1,09;48096,50;52501,02
1870 Sortland;1,05;48096,50;50578,78
1871 Andøy;1,14;48096,50;55051,30
1874 Moskenes;1,21;48096,50;58300,85
1902 Tromsø;0,90;48096,50;43113,88
1903 Harstad;0,97;48096,50;46428,82
1911 Kvæfjord;1,19;48096,50;57344,51
1913 Skånland;1,18;48096,50;56934,74
1917 Ibestad;1,32;48096,50;63573,38
1919 Gratangen;1,39;48096,50;66868,93
1920 Lavangen;1,41;48096,50;67624,15
1922 Bardu;1,05;48096,50;50674,43
1923 Salangen;1,10;48096,50;52921,40
1924 Målselv;1,05;48096,50;50264,55
1925 Sørreisa;1,06;48096,50;50887,44
1926 Dyrøy;1,34;48096,50;64533,92
1927 Tranøy;1,36;48096,50;65311,90
1928 Torsken;1,48;48096,50;71184,95
1929 Berg;1,33;48096,50;63954,07
1931 Lenvik;1,10;48096,50;52922,47
1933 Balsfjord;1,13;48096,50;54579,96
1936 Karlsøy;1,23;48096,50;59279,01
1938 Lyngen;1,30;48096,50;62522,19
1939 Storfjord;1,23;48096,50;59110,72
1940 Kåfjord;1,16;48096,50;55745,84
1941 Skjervøy;1,12;48096,50;53826,41
1942 Nordreisa;1,14;48096,50;55016,52
1943 Kvænangen;1,44;48096,50;69291,73
2002 Vardø;1,06;48096,50;51188,83
2003 Vadsø;0,99;48096,50;47600,68
2004 Hammerfest;0,98;48096,50;47299,22
2011 Kautokeino;1,17;48096,50;56509,86
2012 Alta;1,02;48096,50;49290,49
2014 Loppa;1,40;48096,50;67236,70
2015 Hasvik;1,26;48096,50;60407,23
2017 Kvalsund;1,40;48096,50;67377,83
2018 Måsøy;1,22;48096,50;58591,15
2019 Nordkapp;1,07;48096,50;51580,35
2020 Porsanger;1,03;48096,50;49616,28
2021 Karasjok;1,10;48096,50;52673,30
2022 Lebesby;1,40;48096,50;67403,23
2023 Gamvik;1,16;48096,50;55940,12
2024 Berlevåg;1,23;48096,50;59198,55
2025 Tana;1,18;48096,50;56561,79
2027 Nesseby;1,36;48096,50;65320,91
2028 Båtsfjord;1,04;48096,50;49964,70
2030 Sør-Varanger;0,99;48096,50;47544,36
